x1,x2,y
0.01,5.0,-53.02
0.02,5.01,-45.08
0.03,5.02,-40.44
0.04,5.03,-37.15
0.05,5.04,-34.61
0.06,5.05,-32.53
0.07,5.06,-30.77
0.08,5.07,-29.25
0.09,5.08,-27.91
0.1,5.09,-26.71
0.11,5.1,-25.63
0.12,5.11,-24.64
0.13,5.12,-23.73
0.14,5.13,-22.89
0.15,5.14,-22.1
0.16,5.15,-21.37
0.17,5.16,-20.68
0.18,5.17,-20.03
0.19,5.18,-19.41
0.2,5.19,-18.83
0.21,5.2,-18.27
0.22,5.21,-17.74
0.23,5.22,-17.24
0.24,5.23,-16.75
0.25,5.24,-16.29
0.26,5.25,-15.84
0.27,5.26,-15.41
0.28,5.27,-14.99
0.29,5.28,-14.59
0.3,5.29,-14.2
0.31,5.3,-13.82
0.32,5.31,-13.46
0.33,5.32,-13.11
0.34,5.33,-12.77
0.35,5.34,-12.43
0.36,5.35,-12.11
0.37,5.36,-11.79
0.38,5.37,-11.49
0.39,5.38,-11.19
0.4,5.39,-10.89
0.41,5.4,-10.61
0.42,5.41,-10.33
0.43,5.42,-10.06
0.44,5.43,-9.79
0.45,5.44,-9.53
0.46,5.45,-9.27
0.47,5.46,-9.02
0.48,5.47,-8.78
0.49,5.48,-8.54
0.5,5.49,-8.3
0.51,5.5,-8.07
0.52,5.51,-7.85
0.53,5.52,-7.62
0.54,5.53,-7.4
0.55,5.54,-7.19
0.56,5.55,-6.98
0.57,5.56,-6.77
0.58,5.57,-6.57
0.59,5.58,-6.36
0.6,5.59,-6.17
0.61,5.6,-5.97
0.62,5.61,-5.78
0.63,5.62,-5.59
0.64,5.63,-5.4
0.65,5.64,-5.22
0.66,5.65,-5.04
0.67,5.66,-4.86
0.68,5.67,-4.68
0.69,5.68,-4.51
0.7,5.69,-4.34
0.71,5.7,-4.17
0.72,5.71,-4.0
0.73,5.72,-3.83
0.74,5.73,-3.67
0.75,5.74,-3.51
0.76,5.75,-3.35
0.77,5.76,-3.19
0.78,5.77,-3.04
0.79,5.78,-2.88
0.8,5.79,-2.73
0.81,5.8,-2.58
0.82,5.81,-2.43
0.83,5.82,-2.29
0.84,5.83,-2.14
0.85,5.84,-2.0
0.86,5.85,-1.85
0.87,5.86,-1.71
0.88,5.87,-1.57
0.89,5.88,-1.44
0.9,5.89,-1.3
0.91,5.9,-1.16
0.92,5.91,-1.03
0.93,5.92,-0.9
0.94,5.93,-0.77
0.95,5.94,-0.63
0.96,5.95,-0.51
0.97,5.96,-0.38
0.98,5.97,-0.25
0.99,5.98,-0.12
1.0,5.99,0.0
1.01,6.0,0.12
1.02,6.01,0.25
1.03,6.02,0.37
1.04,6.03,0.49
1.05,6.04,0.61
1.06,6.05,0.73
1.07,6.06,0.84
1.08,6.07,0.96
1.09,6.08,1.08
1.1,6.09,1.19
1.11,6.1,1.31
1.12,6.11,1.42
1.13,6.12,1.53
1.14,6.13,1.64
1.15,6.14,1.75
1.16,6.15,1.86
1.17,6.16,1.97
1.18,6.17,2.08
1.19,6.18,2.19
1.2,6.19,2.29
1.21,6.2,2.4
1.22,6.21,2.5
1.23,6.22,2.61
1.24,6.23,2.71
1.25,6.24,2.82
1.26,6.25,2.92
1.27,6.26,3.02
1.28,6.27,3.12
1.29,6.28,3.22
1.3,6.29,3.32
1.31,6.3,3.42
1.32,6.31,3.52
1.33,6.32,3.62
1.34,6.33,3.71
1.35,6.34,3.81
1.36,6.35,3.91
1.37,6.36,4.0
1.38,6.37,4.1
1.39,6.38,4.19
1.4,6.39,4.29
1.41,6.4,4.38
1.42,6.41,4.47
1.43,6.42,4.56
1.44,6.43,4.66
1.45,6.44,4.75
1.46,6.45,4.84
1.47,6.46,4.93
1.48,6.47,5.02
1.49,6.48,5.11
1.5,6.49,5.2
1.51,6.5,5.29
1.52,6.51,5.37
1.53,6.52,5.46
1.54,6.53,5.55
1.55,6.54,5.63
1.56,6.55,5.72
1.57,6.56,5.81
1.58,6.57,5.89
1.59,6.58,5.98
1.6,6.59,6.06
1.61,6.6,6.14
1.62,6.61,6.23
1.63,6.62,6.31
1.64,6.63,6.39
1.65,6.64,6.48
1.66,6.65,6.56
1.67,6.66,6.64
1.68,6.67,6.72
1.69,6.68,6.8
1.7,6.69,6.88
1.71,6.7,6.96
1.72,6.71,7.04
1.73,6.72,7.12
1.74,6.73,7.2
1.75,6.74,7.28
1.76,6.75,7.36
1.77,6.76,7.43
1.78,6.77,7.51
1.79,6.78,7.59
1.8,6.79,7.67
1.81,6.8,7.74
1.82,6.81,7.82
1.83,6.82,7.9
1.84,6.83,7.97
1.85,6.84,8.05
1.86,6.85,8.12
1.87,6.86,8.2
1.88,6.87,8.27
1.89,6.88,8.34
1.9,6.89,8.42
1.91,6.9,8.49
1.92,6.91,8.57
1.93,6.92,8.64
1.94,6.93,8.71
1.95,6.94,8.78
1.96,6.95,8.86
1.97,6.96,8.93
1.98,6.97,9.0
1.99,6.98,9.07
2.0,6.99,9.14
2.01,7.0,9.21
2.02,7.01,9.28
2.03,7.02,9.35
2.04,7.03,9.42
2.05,7.04,9.49
2.06,7.05,9.56
2.07,7.06,9.63
2.08,7.07,9.7
2.09,7.08,9.77
2.1,7.09,9.84
2.11,7.1,9.91
2.12,7.11,9.97
2.13,7.12,10.04
2.14,7.13,10.11
2.15,7.14,10.18
2.16,7.15,10.24
2.17,7.16,10.31
2.18,7.17,10.38
2.19,7.18,10.44
2.2,7.19,10.51
2.21,7.2,10.58
2.22,7.21,10.64
2.23,7.22,10.71
2.24,7.23,10.77
2.25,7.24,10.84
2.26,7.25,10.9
2.27,7.26,10.97
2.28,7.27,11.03
2.29,7.28,11.1
2.3,7.29,11.16
2.31,7.3,11.22
2.32,7.31,11.29
2.33,7.32,11.35
2.34,7.33,11.41
2.35,7.34,11.48
2.36,7.35,11.54
2.37,7.36,11.6
2.38,7.37,11.66
2.39,7.38,11.73
2.4,7.39,11.79
2.41,7.4,11.85
2.42,7.41,11.91
2.43,7.42,11.97
2.44,7.43,12.04
2.45,7.44,12.1
2.46,7.45,12.16
2.47,7.46,12.22
2.48,7.47,12.28
2.49,7.48,12.34
2.5,7.49,12.4
2.51,7.5,12.46
2.52,7.51,12.52
2.53,7.52,12.58
2.54,7.53,12.64
2.55,7.54,12.7
2.56,7.55,12.76
2.57,7.56,12.82
2.58,7.57,12.88
2.59,7.58,12.94
2.6,7.59,12.99
2.61,7.6,13.05
2.62,7.61,13.11
2.63,7.62,13.17
2.64,7.63,13.23
2.65,7.64,13.29
2.66,7.65,13.34
2.67,7.66,13.4
2.68,7.67,13.46
2.69,7.68,13.52
2.7,7.69,13.57
2.71,7.7,13.63
2.72,7.71,13.69
2.73,7.72,13.74
2.74,7.73,13.8
2.75,7.74,13.86
2.76,7.75,13.91
2.77,7.76,13.97
2.78,7.77,14.03
2.79,7.78,14.08
2.8,7.79,14.14
2.81,7.8,14.19
2.82,7.81,14.25
2.83,7.82,14.3
2.84,7.83,14.36
2.85,7.84,14.41
2.86,7.85,14.47
2.87,7.86,14.52
2.88,7.87,14.58
2.89,7.88,14.63
2.9,7.89,14.69
2.91,7.9,14.74
2.92,7.91,14.79
2.93,7.92,14.85
2.94,7.93,14.9
2.95,7.94,14.96
2.96,7.95,15.01
2.97,7.96,15.06
2.98,7.97,15.12
2.99,7.98,15.17
3.0,7.99,15.22
3.01,8.0,15.28
3.02,8.01,15.33
3.03,8.02,15.38
3.04,8.03,15.43
3.05,8.04,15.49
3.06,8.05,15.54
3.07,8.06,15.59
3.08,8.07,15.64
3.09,8.08,15.7
3.1,8.09,15.75
3.11,8.1,15.8
3.12,8.11,15.85
3.13,8.12,15.9
3.14,8.13,15.95
3.15,8.14,16.01
3.16,8.15,16.06
3.17,8.16,16.11
3.18,8.17,16.16
3.19,8.18,16.21
3.2,8.19,16.26
3.21,8.2,16.31
3.22,8.21,16.36
3.23,8.22,16.41
3.24,8.23,16.46
3.25,8.24,16.51
3.26,8.25,16.56
3.27,8.26,16.61
3.28,8.27,16.66
3.29,8.28,16.71
3.3,8.29,16.76
3.31,8.3,16.81
3.32,8.31,16.86
3.33,8.32,16.91
3.34,8.33,16.96
3.35,8.34,17.01
3.36,8.35,17.06
3.37,8.36,17.11
3.38,8.37,17.16
3.39,8.38,17.21
3.4,8.39,17.26
3.41,8.4,17.31
3.42,8.41,17.35
3.43,8.42,17.4
3.44,8.43,17.45
3.45,8.44,17.5
3.46,8.45,17.55
3.47,8.46,17.6
3.48,8.47,17.64
3.49,8.48,17.69
3.5,8.49,17.74
3.51,8.5,17.79
3.52,8.51,17.83
3.53,8.52,17.88
3.54,8.53,17.93
3.55,8.54,17.98
3.56,8.55,18.02
3.57,8.56,18.07
3.58,8.57,18.12
3.59,8.58,18.17
3.6,8.59,18.21
3.61,8.6,18.26
3.62,8.61,18.31
3.63,8.62,18.35
3.64,8.63,18.4
3.65,8.64,18.45
3.66,8.65,18.49
3.67,8.66,18.54
3.68,8.67,18.59
3.69,8.68,18.63
